trade_date,scope_return_1d,advance_ratio,trend_price_alignment_ratio,new_high_ratio,price_position_median,uptrend_member_ratio,main_structure_up_ratio,short_structure_up_ratio,trend_structure_momentum_alignment_ratio,structure_net_event_rate,structure_breakdown_diffusion,multi_dim_improving_ratio,momentum_enhancing_coverage,fresh_structure_event_coverage,non_head_participation_ratio,leader_follower_common_confirm_ratio,top5_price_change_contribution,top10pct_event_contribution,member_change_hhi,leader_median_diff,top5_amount_contribution,volume_expansion_ratio,amount_expansion_ratio,volume_percentile20_median,amount_percentile200_median,trend_segment_volume_improvement,price_amount_efficiency_median,metric_P_value,metric_P_rawValue,metric_P_status,metric_Q_value,metric_Q_rawValue,metric_Q_status,metric_U_value,metric_U_rawValue,metric_U_status,metric_C_value,metric_C_rawValue,metric_C_status,metric_V_value,metric_V_rawValue,metric_V_status
2026-04-08,,,,0.012879661668589004,0.32297326532930226,0.16205305651672433,0.5690119184928873,0.2608612072279892,0.5575638506876228,-0.1710239651416122,0.8462129950019224,0.01845444059976932,0.2757162084214574,1.0,,,,0.09998077292828303,,,0.040646568660529236,0.15570934256055363,0.1572472126105344,0.6084678969627061,0.5183441372715129,0.7198998832303397,,,0.16792646349894563,unavailable,,0.37077984379758894,insufficient_history,,0.4313902163404089,insufficient_history,,0.07031367079440613,insufficient_history,,0.4319336945271293,insufficient_history
2026-04-09,,,,0.01095521814337882,0.28381962864721494,0.16452046896021527,0.5698635402652316,0.27964635787045933,0.5659006089176979,-0.16336728810301748,0.8370171055160485,0.004420526619258121,0.01729771285796656,1.0,,,,0.09996155324875049,,,0.03745880459790329,0.1145492984816452,0.12396694214876033,0.43847780126849834,0.4230045679273595,0.7195232111089318,,,0.14738742339529687,unavailable,,0.37559679890443914,insufficient_history,,0.3405727464924082,insufficient_history,,0.06871017892332688,insufficient_history,,0.36390436418703903,insufficient_history
2026-04-10,,,,0.00749423520368947,0.3056978421984655,0.16852421214450422,0.5716756341275941,0.30649500384319756,0.5736160188457008,-0.14738662567255956,0.8274404304381245,0.008070714834742506,0.0622598001537279,1.0,,,,0.09994234095714011,,,0.04760120883521389,0.13643351268255188,0.14930822444273636,0.4599154496541118,0.4417969131674688,0.7196735795644663,,,0.1565960387010775,unavailable,,0.38339411228776027,insufficient_history,,0.3567768383294901,insufficient_history,,0.073771774896177,insufficient_history,,0.381425535902267,insufficient_history
2026-04-13,,,,0.01095521814337882,0.304081632653061,0.17201614453200076,0.5723620987891601,0.3309629060157601,0.5759717314487632,-0.12979691203792684,0.8166442437055544,0.005573707476455891,0.029213915049010185,1.0,,,,0.09996155324875049,,,0.03919315266331208,0.11128195271958485,0.12358254852969441,0.40461272342879034,0.4146273040019409,0.7219497099171963,,,0.1575184253982199,unavailable,,0.3896933687422186,insufficient_history,,0.34492920750848866,insufficient_history,,0.06957735295603129,insufficient_history,,0.3552108477194414,insufficient_history
2026-04-14,,,,0.01133307721859393,0.32303533626636616,0.17383787936995773,0.5731847867844795,0.3624663849404533,0.5795566019226996,-0.11019336662824945,0.8077218593930081,0.008643872454859777,0.04859777180176719,1.0,,,,0.09990393852065321,,,0.040803854957413954,0.13119477525931617,0.15059546676911256,0.4810699193238559,0.4491890199619868,0.728542391938718,,,0.16718420674248005,unavailable,,0.39776235763039147,insufficient_history,,0.3524138814188757,insufficient_history,,0.07035389673903358,insufficient_history,,0.3881183146505979,insufficient_history
2026-04-15,,,,0.006341275941583398,0.3115026716586088,0.1777478862413528,0.5734050730207533,0.372598001537279,0.5808477237048666,-0.10857033051498848,0.8018831667947732,0.00595695618754804,0.02843966179861645,1.0,,,,0.09994234095714011,,,0.04041272316161796,0.14392774788624135,0.16295157571099156,0.4826383551114523,0.45410172487422257,0.7364922900979696,,,0.1589219738000961,unavailable,,0.39965192013067274,insufficient_history,,0.34479887266205483,insufficient_history,,0.07017753205937903,insufficient_history,,0.3960223387361755,insufficient_history
2026-04-16,,,,0.014985590778097982,0.34458174904942973,0.17886647454370797,0.574447646493756,0.4107588856868396,0.581518540317834,-0.07403138008325329,0.7873198847262248,0.009990393852065321,0.04956772334293948,1.0,,,,0.09992313604919292,,,0.04433764823762949,0.138328530259366,0.15561959654178675,0.4883957732949102,0.45568066270304686,0.7383549669440536,,,0.17978366991376385,unavailable,,0.40981334194751823,insufficient_history,,0.3531860390650016,insufficient_history,,0.07213039214341121,insufficient_history,,0.3952759059486327,insufficient_history
2026-04-17,,,,0.01729106628242075,0.34308510638297895,0.181940441882805,0.574447646493756,0.43554274735830933,0.5851314240878775,-0.06455331412103746,0.7796349663784822,0.007877041306436119,0.010953112990007686,1.0,,,,0.09992313604919292,,,0.047962100573756286,0.15811719500480306,0.18232468780019212,0.5010566762728139,0.4681018977392791,0.7443357648963247,,,0.18018808633269986,unavailable,,0.4153573186800321,insufficient_history,,0.3396100514321479,insufficient_history,,0.07394261831147461,insufficient_history,,0.41078724434268254,insufficient_history
2026-04-20,,,,0.017112093828109978,0.35504201680672276,0.18515670063449335,0.5750817150547971,0.47202461065179774,0.5906145690162968,-0.039735948215086844,0.7636992885983465,0.0071140165352816765,0.02403846153846154,1.0,,,,0.1,,,0.04298955162000943,0.1778504133820419,0.20669102095750816,0.5285425879638538,0.48731709743211843,0.750307889143623,,,0.18607705531741636,unavailable,,0.4244734892901074,insufficient_history,,0.3437174926912477,insufficient_history,,0.07149477581000471,insufficient_history,,0.43014180177582906,insufficient_history
2026-04-21,,,,0.013643351268255189,0.34945125014491624,0.18543428132205994,0.5770561106840891,0.4907763259031514,0.5918807609335164,-0.029144248014347937,0.7530745580322828,0.0034588777863182167,0.012682551883166795,1.0,,,,0.09994234095714011,,,0.04214797970824976,0.13662567255956956,0.16199077632590314,0.48469446579554176,0.4577498495350681,0.7530606041447194,,,0.1815473007065857,unavailable,,0.428179631476792,insufficient_history,,0.33871380988982835,insufficient_history,,0.07104516033269494,insufficient_history,,0.3988242736721604,insufficient_history
